Transaction ID,CPU Time,I/O on Disk,% Read Operations
1,2.4003,3,99
2,2.4861,4,94
3,2.2065,4,93
4,2.4452,3,84
5,2.1722,3,96
6,2.6964,3,6
7,2.0039,3,8
8,2.4527,4,10
9,2.6242,4,100
10,2.4193,4,89
11,2.3452,3,96
12,2.346,3,5
13,2.426,3,96
14,2.6612,3,91
15,2.4795,3,88
16,2.6508,3,98
17,2.5315,3,11
18,2.2116,3,88
19,2.2386,3,86
20,2.3316,3,12
21,2.5125,3,3
22,2.3943,3,89
23,2.2915,3,82
24,2.5679,3,85
25,2.8784,4,8
26,2.377,3,86
27,2.353,3,83
28,2.6252,3,85
29,2.3833,3,20
30,2.6087,3,86
31,2.327,3,100
32,2.4633,3,99
33,2.3563,4,6
34,2.4624,4,92
35,2.0978,3,88
36,2.1904,3,3
37,2.7965,4,96
38,2.0282,3,5
39,2.3863,3,15
40,2.3897,3,87
41,2.4429,3,20
42,2.621,3,89
43,2.3871,3,7
44,2.5419,4,12
45,2.3031,3,3
46,2.5649,3,12
47,2.423,3,95
48,2.2149,3,93
49,2.3706,3,98
50,2.3403,4,95
51,2.5408,3,95
52,2.4581,3,94
53,2.8803,3,7
54,2.3369,3,12
55,2.3117,3,89
56,2.4541,3,89
57,2.2849,3,5
58,2.6467,4,9
59,2.6761,3,5
60,2.604,3,13
61,2.7308,3,3
62,2.3535,3,16
63,2.2715,3,100
64,2.1543,3,77
65,2.6675,3,9
66,2.7966,4,9
67,2.342,3,92
68,2.3899,3,82
69,2.475,4,79
70,2.1749,3,90
71,2.4659,4,4
72,2.5016,3,7
73,2.6684,3,8
74,2.3521,3,12
75,2.2581,3,87
76,2.588,3,86
77,2.6431,3,92
78,2.4917,3,9
79,1.9405,3,86
80,2.3329,3,91
81,2.4543,3,88
82,2.0573,3,5
83,2.6195,3,8
84,2.2569,3,89
85,2.5092,3,91
86,2.6008,3,91
87,2.1153,3,88
88,2.5063,4,95
89,2.8445,3,11
90,2.4484,3,16
91,2.3183,4,91
92,2.4702,3,88
93,2.1835,3,19
94,2.3213,4,14
95,2.5889,3,87
96,2.6329,3,85
97,2.4261,4,5
98,2.1945,3,88
99,2.1734,3,16
100,2.5968,3,15
101,2.235,3,5
102,2.3192,4,99
103,2.48,3,95
104,2.2651,3,10
105,2.09,4,8
106,2.5001,4,91
107,2.2868,4,7
108,2.5371,3,81
109,2.4293,3,86
110,2.2845,3,83
111,2.4867,3,11
112,2.1985,3,88
113,2.445,3,9
114,2.4186,3,11
115,2.3423,3,12
116,2.2511,4,98
117,1.9959,3,100
118,2.111,3,90
119,2.1982,3,80
120,2.5456,3,7
121,2.7343,4,92
122,2.373,3,90
123,2.2088,3,89
124,2.4132,4,97
125,2.2622,3,94
126,2.3922,3,92
127,2.7799,3,92
128,2.5235,3,11
129,2.255,3,11
130,2.2826,3,7
131,2.4871,3,8
132,2.4381,3,14
133,2.3667,3,7
134,2.2324,3,5
135,2.6023,3,10
136,2.6429,3,10
137,2.1455,3,90
138,2.5766,3,86
139,2.8633,3,7
140,2.578,3,97
141,2.5955,3,6
142,2.228,3,7
143,2.5003,3,87
144,2.6165,3,95
145,2.4409,3,17
146,2.4323,4,9
147,2.5505,4,96
148,2.3515,3,88
149,2.3052,3,79
150,2.7218,3,17
151,2.4965,3,87
152,2.9355,3,14
153,2.763,3,79
154,2.591,4,85
155,2.4123,3,88
156,2.2113,3,91
157,2.6197,3,13
158,2.2228,4,13
159,2.1587,3,99
160,2.2212,3,16
161,2.6154,3,93
162,2.0965,3,9
163,2.5508,3,89
164,2.6424,4,88
165,2.4141,4,7
166,2.7721,3,80
167,2.6308,3,87
168,2.3348,3,92
169,2.4788,3,16
170,2.6971,3,89
171,2.6371,3,10
172,2.0724,3,8
173,2.3525,3,89
174,2.0611,3,94
175,2.6534,4,98
176,2.5063,3,12
177,2.4374,3,90
178,2.5584,3,88
179,2.1472,3,16
180,2.4389,3,6
181,2.4046,4,81
182,2.5763,3,12
183,2.5302,3,5
184,2.5233,3,10
185,2.4047,3,85
186,2.2027,3,0
187,2.2766,4,80
188,2.2748,3,9
189,2.5514,3,95
190,2.3662,3,81
191,2.4745,3,18
192,2.4447,3,15
193,2.4818,3,11
194,2.5003,4,98
195,2.1934,3,91
196,2.3462,3,5
197,2.492,3,7
198,2.438,3,18
199,2.0725,3,88
200,2.679,3,88
201,2.2212,3,83
202,2.3845,3,4
203,1.7586,4,86
204,2.3061,3,15
205,2.5844,3,18
206,2.3018,3,85
207,2.5066,3,96
208,2.3612,4,3
209,2.5565,3,13
210,2.1983,3,86
211,2.5153,3,98
212,2.3123,3,5
213,2.4309,4,85
214,2.5025,4,89
215,2.5053,3,93
216,2.3599,3,88
217,2.0634,3,7
218,2.4116,3,2
219,2.2888,3,85
220,2.356,3,78
221,2.4016,3,79
222,2.1163,3,82
223,2.4382,3,18
224,2.4107,4,88
225,2.2723,4,90
226,2.2009,3,88
227,2.3176,3,6
228,2.705,3,95
229,2.1457,4,8
230,2.3947,3,96
231,2.4687,4,6
232,2.3224,4,88
233,2.7085,3,8
234,2.5724,3,4
235,2.4335,3,89
236,2.593,3,8
237,2.605,3,91
238,2.3138,3,16
239,2.4436,3,90
240,2.5288,3,77
241,2.8478,3,86
242,2.2468,3,91
243,2.2331,3,8
244,2.3097,3,89
245,2.4107,3,88
246,2.2629,3,96
247,2.6873,4,93
248,2.5837,3,13
249,2.6545,3,100
250,2.3702,4,9
251,2.3773,3,10
252,2.335,3,97
253,2.2586,3,100
254,2.4299,3,90
255,2.1637,3,9
256,2.3545,3,15
257,2.4899,3,9
258,2.234,3,86
259,2.301,3,18
260,2.0818,3,82
261,2.1133,3,18
262,2.1514,3,88
263,2.173,3,13
264,2.3474,4,3
265,2.13,4,9
266,2.5044,3,100
267,2.3488,3,93
268,2.5121,3,94
269,2.3315,4,83
270,2.6401,4,88
271,2.5403,3,11
272,2.4004,3,93
273,2.307,3,7
274,2.4332,3,10
275,2.3695,3,90
276,2.4062,3,95
277,2.3146,3,0
278,2.1747,3,92
279,2.3562,3,89
280,2.7284,4,93
281,2.6491,4,92
282,2.3353,3,87
283,2.5035,3,88
284,2.5564,3,4
285,2.1638,4,90
286,2.2849,3,85
287,2.6371,3,89
288,2.2454,4,7
289,2.9338,3,94
290,2.5822,3,100
291,2.8145,3,21
292,1.8363,3,5
293,2.428,3,87
294,2.451,4,93
295,2.1297,3,11
296,2.2026,4,14
297,2.5136,3,11
298,2.4546,3,17
299,2.5292,3,5
300,2.6612,4,97
301,2.468,4,90
302,2.475,3,22
303,2.4961,4,13
304,2.5688,3,81
305,2.3686,4,94
306,2.5853,4,13
307,2.269,4,88
308,2.1077,3,92
309,2.4054,3,91
310,2.3173,4,90
311,2.5071,3,90
312,2.8126,4,17
313,2.4361,3,86
314,2.0021,3,6
315,2.3032,3,89
316,2.3777,4,82
317,2.5023,3,6
318,2.1824,4,5
319,2.3534,4,89
320,2.431,4,100
321,2.494,3,90
322,2.4247,3,84
323,2.3941,3,12
324,2.0225,3,14
325,2.2359,3,100
326,2.3734,3,91
327,2.3549,3,14
328,2.4671,4,93
329,2.2194,3,93
330,2.2753,4,12
331,2.2678,3,88
332,2.1417,3,9
333,2.3607,3,86
334,2.3693,3,10
335,2.3598,3,94
336,2.2667,4,15
337,2.5579,3,8
338,2.3842,3,9
339,2.6538,3,98
340,2.1593,4,7
341,2.5217,3,7
342,2.2946,3,86
343,2.3871,3,93
344,2.7605,3,11
345,2.8405,3,99
346,2.3576,3,4
347,2.5808,4,3
348,2.4626,4,16
349,2.6311,4,6
350,2.3162,3,14
351,2.0742,3,12
352,2.3363,3,89
353,2.3778,4,87
354,2.3683,3,3
355,2.5675,3,89
356,2.2996,3,9
357,2.1344,3,9
358,2.5504,3,91
359,2.5135,3,0
360,2.2858,4,90
361,2.1677,3,91
362,2.3708,3,95
363,2.4772,3,89
364,2.007,3,9
365,2.1834,3,88
366,2.5555,4,7
367,2.5338,3,82
368,2.2054,4,84
369,2.4207,3,90
370,2.2755,4,93
371,2.6863,3,3
372,2.8211,4,19
373,2.5131,3,9
374,2.8299,3,12
375,2.2491,3,88
376,2.3785,3,76
377,2.5223,3,11
378,2.053,3,100
379,2.1725,3,6
380,2.2895,3,8
381,2.3405,3,14
382,2.2496,3,18
383,2.3441,4,82
384,2.2207,3,91
385,2.6595,3,10
386,2.2093,3,16
387,2.3735,3,90
388,2.4422,4,15
389,2.1682,3,94
390,2.4793,3,6
391,2.2942,3,17
392,2.2785,3,9
393,2.6189,3,89
394,2.8386,3,89
395,2.3874,3,93
396,2.0945,3,19
397,2.4037,3,82
398,2.607,3,13
399,2.6209,3,3
400,2.3487,4,10
401,2.3834,3,87
402,2.1683,3,93
403,2.137,3,10
404,1.8365,3,3
405,2.1213,3,92
406,2.2856,3,8
407,2.495,3,20
408,2.289,4,91
409,2.454,3,12
410,2.3943,3,92
411,2.4598,4,88
412,2.3469,3,91
413,2.0959,3,88
414,2.3308,3,84
415,2.6085,3,90
416,2.5318,3,8
417,2.6392,3,91
418,2.5935,3,7
419,2.1869,3,94
420,2.4834,3,8
421,1.9573,3,14
422,2.4516,3,81
423,2.7046,3,96
424,2.0922,3,9
425,2.4305,3,82
426,2.5289,3,86
427,2.2892,3,11
428,2.3679,3,94
429,2.4309,3,88
430,2.4092,3,93
431,2.3423,3,84
432,2.1878,4,100
433,2.1961,3,0
434,2.0627,3,90
435,2.6081,4,7
436,2.2512,4,8
437,2.325,3,93
438,2.1579,3,10
439,2.4934,4,15
440,2.7337,3,4
441,2.3339,3,91
442,2.4619,3,10
443,2.0985,3,8
444,2.5137,3,15
445,2.3512,3,10
446,2.4197,3,10
447,2.3063,3,9
448,2.3546,3,20
449,2.3761,3,90
450,2.1776,3,4
451,2.4678,3,2
452,2.4809,3,9
453,2.3737,4,14
454,2.299,3,5
455,2.298,3,81
456,2.1927,3,95
457,2.2935,3,91
458,2.6123,3,95
459,2.2932,3,87
460,2.5126,3,0
461,2.134,4,6
462,2.2237,3,24
463,2.5225,3,17
464,2.4214,3,6
465,2.7436,3,91
466,2.4934,3,12
467,2.2585,4,94
468,2.517,4,10
469,2.2453,3,9
470,2.5538,3,93
471,2.1446,3,15
472,2.4458,3,11
473,2.5817,3,90
474,2.1114,3,7
475,2.4259,4,91
476,2.4443,4,12
477,2.2057,4,20
478,2.1906,4,0
479,2.3601,3,11
480,2.3167,3,13
481,2.3357,3,11
482,2.2338,3,1
483,2.4528,3,92
484,2.3379,3,90
485,2.4896,3,93
486,1.9126,3,17
487,2.6903,3,93
488,2.5475,3,7
489,2.2679,4,91
490,2.3849,3,91
491,2.6285,3,88
492,2.4779,3,15
493,2.3312,3,15
494,2.3674,3,88
495,2.3331,4,79
496,2.3214,3,7
497,2.7021,3,91
498,2.3716,4,95
499,2.6362,3,99
500,2.1565,3,11
501,2.4486,3,17
502,2.7484,3,87
503,2.7644,3,6
504,2.1766,3,8
505,2.3363,3,6
506,2.5548,3,98
507,2.363,3,15
508,2.1329,3,12
509,2.3979,3,93
510,2.3195,4,14
511,2.3798,3,10
512,2.0834,3,97
513,2.2799,3,89
514,2.3061,3,4
515,1.7359,4,24
516,2.6394,3,10
517,2.4175,3,94
518,1.9328,3,85
519,2.1089,3,100
520,2.12,3,4
521,2.9296,3,100
522,2.6735,3,88
523,2.7152,4,12
524,2.0316,4,10
525,2.5091,3,88
526,2.4814,3,15
527,2.4387,4,87
528,2.4473,3,87
529,2.34,3,7
530,2.5631,3,90
531,2.3264,3,11
532,2.4958,4,15
533,2.5399,3,86
534,2.6477,3,8
535,2.6984,3,88
536,2.6182,3,5
537,2.3705,4,12
538,2.1447,3,91
539,2.2852,3,11
540,2.4239,4,90
541,2.47,3,17
542,2.3184,4,11
543,2.3377,4,9
544,2.6742,4,89
545,2.1783,3,97
546,2.4169,3,83
547,2.5426,3,10
548,2.3647,3,4
549,2.282,4,13
550,2.5505,3,85
551,2.4104,3,82
552,2.5608,4,93
553,2.6753,3,93
554,2.3444,3,88
555,2.4696,3,84
556,2.5424,3,87
557,1.907,3,13
558,2.2003,4,5
559,2.5819,3,3
560,2.3184,3,97
561,2.5115,3,14
562,2.6584,4,87
563,2.6201,3,5
564,2.3727,3,83
565,2.4581,3,16
566,2.6503,3,93
567,2.4337,3,92
568,2.3579,4,11
569,2.4733,4,14
570,2.5519,3,9
